,VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
213,2,1.0,10.16,261,194,1,42.9,2.5,0.5,13.01,14.9,1.0,78.06,2.5,0.0,0.75
214,2,1.0,0.0,143,143,4,70.0,0.0,0.5,0.0,14.92,1.0,89.67,2.5,0.0,0.75
215,2,2.0,16.31,163,132,1,70.0,0.0,0.5,17.94,14.93,1.0,107.62,2.5,0.0,0.75
216,2,1.0,15.48,145,132,1,70.0,0.0,0.5,10.0,14.94,1.0,96.44,0.0,0.0,0.0
217,2,1.0,12.05,163,138,1,49.9,6.0,0.5,5.0,14.95,1.0,80.6,2.5,0.0,0.75
218,2,1.0,16.01,143,132,3,90.0,0.0,0.0,0.0,14.99,1.0,109.24,2.5,0.0,0.75
219,1,1.0,3.1,229,7,1,18.4,5.75,0.5,8.15,15.0,1.0,48.8,2.5,0.0,0.75
220,2,1.0,10.61,90,138,1,71.3,5.0,0.0,23.32,15.25,1.0,116.62,0.0,0.0,0.75
221,2,1.0,13.67,161,265,1,70.9,0.0,0.0,4.0,15.38,1.0,92.03,0.0,0.0,0.75
222,2,1.0,16.39,132,230,1,70.0,0.0,0.5,18.03,15.42,1.0,108.2,2.5,0.0,0.75
223,2,1.0,16.71,10,243,1,70.0,0.0,0.5,17.39,15.43,1.0,104.32,0.0,0.0,0.0
224,2,1.0,11.48,161,138,1,48.5,0.0,0.5,13.09,15.44,1.0,78.53,0.0,0.0,0.0
225,2,2.0,3.8,197,132,1,87.0,0.0,0.0,20.7,15.5,1.0,124.2,0.0,0.0,0.0
226,2,1.0,11.54,230,138,1,50.6,5.0,0.5,15.18,15.55,1.0,91.08,2.5,0.0,0.75
227,1,1.0,8.4,93,35,1,36.6,0.0,0.5,10.75,15.69,1.0,64.54,0.0,0.0,0.0
